Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,3409.0,1905.0,2657.0,2530.0,4704.0,6591.0,7874.0,7901.0,8325.0,9047.0,10564.0,10574.0,14783.0,18650.0,20371.0,25187.0
Asia-Pacific,0.0,0.0,2825.0,2750.0,2324.0,2809.0,2107.0,2582.0,7825.0,7132.0,9287.0,10725.0,7519.0,12687.0,16568.0,18875.0
Europe_and_Central_Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23415.0,21164.0,14803.0,8611.0,41224.0,55957.0
Latin_America_and_Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23915.0,22463.0,20915.0,21896.0,23997.0,26439.0
Middle_East_and_North_Africa,212.0,195.0,1907.0,2171.0,2500.0,2375.0,3366.0,3319.0,13063.0,20383.0,19630.0,19116.0,15602.0,15976.0,10437.0,11152.0
US_and_Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,175.0,205.0,167.0
